sku,name,category,footprint,renderer,mesh_family,painter_ref,png_frames
"sku-0613","Jukebox","Office amenities","1x1","WebGL procedural mesh","games","webgl.sku-0613","0"
"sku-0503","Mini fridge","Office amenities","1x1","WebGL procedural mesh","amenities","webgl.sku-0503","0"
"sku-0609","Pinball machine","Office amenities","1x1","WebGL procedural mesh","games","webgl.sku-0609","0"
"sku-0604","Ping-pong table","Office amenities","3x2","WebGL procedural mesh","games","webgl.sku-0604","0"
"sku-0601","Pool table","Office amenities","3x2","WebGL procedural mesh","games","webgl.sku-0601","0"
"sku-0204","Potted rubber tree","Office amenities","1x1","WebGL procedural mesh","plants","webgl.sku-0204","0"
"sku-0529","Recycling bin","Office amenities","1x1","WebGL procedural mesh","amenities","webgl.sku-0529","0"
"sku-0625","Retro console","Office amenities","1x1","WebGL procedural mesh","games","webgl.sku-0625","0"
"sku-0502","Snack cart","Office amenities","2x1","WebGL procedural mesh","amenities","webgl.sku-0502","0"
"sku-0207","Snake plant","Office amenities","1x1","WebGL procedural mesh","plants","webgl.sku-0207","0"
"sku-0527","Soda machine","Office amenities","1x1","WebGL procedural mesh","amenities","webgl.sku-0527","0"
"sku-1305","Television","Office amenities","3x1","WebGL procedural mesh","lounge","webgl.sku-1305","0"
"sku-1306","Toilet","Office amenities","1x1","WebGL procedural mesh","lounge","webgl.sku-1306","0"
"sku-0623","Treadmill","Office amenities","2x1","WebGL procedural mesh","fitness","webgl.sku-0623","0"
"sku-1307","Urinal","Office amenities","1x1","WebGL procedural mesh","lounge","webgl.sku-1307","0"
"sku-0501","Water cooler","Office amenities","1x1","WebGL procedural mesh","amenities","webgl.sku-0501","0"
